IP,Domain,Country,Region,City,ISP,ASN
121.211.136.12,, Australia,02,Bankstown,Telstra Pty Ltd,AS1221
122.150.133.244,244.133.150.122.sta.dodo.net.au, Australia,02,Bankstown,M2 Telecommunications Group Ltd,AS38285
118.211.3.172,, Australia,05,Bowden,Internode Pty Ltd,AS4739
14.203.115.214,14-203-115-214.static.tpgi.com.au, Australia,04,Brisbane,TPG Telecom Limited,AS7545
49.195.5.245,pa49-195-5-245.pa.nsw.optusnet.com.au, Australia,02,Wollstonecraft,Microplex PTY LTD,AS4804
1.127.48.206,, Australia,08,,Telstra Pty Ltd,AS1221
110.175.61.31,110-175-61-31.tpgi.com.au, Australia,07,Mulgrave,TPG Telecom Limited,AS7545
124.169.47.107,124-169-47-107.dyn.iinet.net.au, Australia,05,Kudla,Internode Pty Ltd,AS4739
49.195.135.192,pa49-195-135-192.pa.nsw.optusnet.com.au, Australia,02,Sydney,Microplex PTY LTD,AS4804
49.199.23.92,pa49-199-23-92.pa.vic.optusnet.com.au, Australia,07,Melbourne,Microplex PTY LTD,AS4804
202.161.74.70,202-161-74-70.tpgi.com.au, Australia,07,Footscray,TPG Telecom Limited,AS7545
114.76.88.42,c114-76-88-42.thoms3.vic.optusnet.com.au, Australia,07,Keon Park,Microplex PTY LTD,AS4804
49.181.207.250,pa49-181-207-250.pa.nsw.optusnet.com.au, Australia,02,Ingleburn,Microplex PTY LTD,AS4804
60.240.221.78,60-240-221-78.tpgi.com.au, Australia,02,Eastwood,TPG Telecom Limited,AS7545
101.163.9.59,CPE-101-163-9-59.lnse6.cha.bigpond.net.au, Australia,04,Bracken Ridge,Telstra Pty Ltd,AS1221
120.20.54.68,, Australia,05,Adelaide,Vodafone Australia Pty Ltd,AS133612
220.233.178.133,133.178.233.220.static.exetel.com.au, Australia,02,Gosford,Exetel Pty Ltd,AS10143
49.197.18.197,pa49-197-18-197.pa.qld.optusnet.com.au, Australia,04,Brisbane,Microplex PTY LTD,AS4804
27.253.92.222,c27-253-92-222.sunsh4.vic.optusnet.com.au, Australia,07,Yarraville,Microplex PTY LTD,AS4804
1.124.48.34,, Australia,05,,Telstra Pty Ltd,AS1221
121.211.210.251,cpe-121-211-210-251.hhui-cr-003.cht.nsw.bigpond.net.au, Australia,02,Ashcroft,Telstra Pty Ltd,AS1221
27.32.57.31,27-32-57-31.tpgi.com.au, Australia,02,Toongabbie,TPG Telecom Limited,AS7545
122.107.133.139,c122-107-133-139.eburwd5.vic.optusnet.com.au, Australia,07,Chadstone,Microplex PTY LTD,AS4804
1.152.97.80,, Australia,07,Melbourne,Telstra Pty Ltd,AS1221
58.7.128.0,58-7-128-nwork.dyn.iinet.net.au, Australia,07,Melbourne,Internode Pty Ltd,AS4739
101.170.85.73,, Australia,,,Telstra Pty Ltd,AS1221
101.174.71.146,CPE-101-174-71-146.lnse7.cht.bigpond.net.au, Australia,02,Concord,Telstra Pty Ltd,AS1221
59.101.38.121,C-59-101-38-121.hay.connect.net.au, Australia,,,AAPT Limited,AS2764
49.183.179.35,pa49-183-179-35.pa.vic.optusnet.com.au, Australia,07,Melbourne,Microplex PTY LTD,AS4804
